主区间半宽,辅助半宽,区间内对冲,初始租金预算可行,前21天损益USD,后9天独立测试USD,30天损益USD,30天最大回撤
2.5%,0.8%,50%,是,-10.19,-6.65,-10.19,5.09%
2.5%,0.8%,100%,是,-10.32,-6.79,-10.32,5.16%
2.5%,0.8%,0%,是,-10.14,-6.79,-10.14,5.21%
1.2%,0.4%,0%,是,-10.38,-7.81,-10.38,5.19%
1.2%,0.4%,50%,是,-10.40,-7.71,-10.40,5.20%
4%,1.2%,50%,是,-10.61,-5.99,-10.61,5.31%
4%,1.2%,100%,是,-10.63,-6.02,-10.63,5.31%
1.2%,0.4%,100%,是,-10.84,-8.00,-10.84,5.42%
4%,1.2%,0%,是,-10.80,-5.76,-10.80,5.92%
8%,2%,0%,否,-8.57,-4.93,-8.57,5.27%
8%,2%,50%,否,-9.89,-5.13,-9.89,5.03%
8%,2%,100%,否,-10.45,-5.13,-10.45,5.22%
